"x","y","SL","TA","behav_fine","behav_coarse"
0,0,NA,NA,NA,NA
-0.0302684132821005,-0.0360439702864031,0.0470674477385714,-2.26931751744424,"Resting","Resting"
-12.9250886121989,-10.7751248992198,16.7810681173927,-0.177839119312896,"Transit","Resting"
-12.8916732901003,-10.7227450794685,0.0621307433411889,-2.83308465828037,"Resting","Resting"
-13.2619516982658,-11.1760069229637,0.585279760731786,3.02447210657949,"Resting","Resting"
-16.1710359094338,-18.0530197166187,7.46699912359453,0.284784154925511,"Transit","Resting"
-16.1512555440941,-18.0106613647991,0.0467492547732023,3.10489960278641,"Resting","Resting"
-16.1512386808609,-18.0107259024525,6.67044027749786e-05,-2.44913214832795,"Resting","Resting"
-16.1513728559665,-18.0104049446199,0.000347874818448568,-3.00120565394953,"Resting","Resting"
-15.8852885285988,-18.2660570783052,0.368997131057381,-2.73216776144499,"Resting","Resting"
-15.9033713876985,-18.2490449793695,0.0248274304634545,-3.13108422134145,"Resting","Resting"
-15.9003485654277,-18.2524853317255,0.00457968108216649,3.04657999555454,"Resting","Resting"
-18.1726910964323,-18.0218426468195,2.28401765017547,-2.39283628418044,"Resting","Resting"
-18.3496344125513,-17.9870880700705,0.180324201715125,-0.092793925632833,"Resting","Resting"
-18.2879374156085,-17.9988027798537,0.0627993141448619,-3.13528636580525,"Resting","Resting"
-19.2627367353204,-17.6357085154477,1.04022649387295,2.97267339492278,"Resting","Resting"
-19.2402325415076,-17.6287615683867,0.02355204476538,-2.48561696058481,"Resting","Resting"
-19.2402538942165,-17.6287632359006,2.14177211795337e-05,2.92011300728433,"Resting","Resting"
-28.1084926716846,-22.2228149494383,9.98754074639229,0.400035119139862,"Transit","Resting"
-28.0277806737996,-22.205639900088,0.0825191427655844,2.87328884437691,"Resting","Resting"
-28.0320464352722,-22.186399698271,0.0197074119787886,1.57931099453241,"Resting","Resting"
-28.007860401885,-22.3175310349387,0.133343135058638,3.10580256439578,"Resting","Resting"
-28.0079848101707,-22.3164457681934,0.00109237417123846,3.07333678164374,"Resting","Resting"
-27.8731962942094,-22.9494001420712,0.647146956607311,-3.04591103238051,"Resting","Resting"
-27.8733154147979,-22.948764934937,0.000646279984194268,3.11715263624256,"Resting","Resting"
-26.8173593600294,-24.0535852531524,1.52829026207195,-2.56418207920508,"Resting","Resting"
-21.1998284849621,-33.2741584585665,10.797019189051,-0.21560275170024,"Transit","Resting"
-21.1464946798985,-30.4737604199713,2.80090586584597,2.57536482600799,"Exploratory","Resting"
-20.5645844555443,-31.3189616974362,1.02615043177705,-2.51959251442938,"Resting","Resting"
-20.5645222689865,-31.3188969407478,8.97808257119056e-05,1.77348065903414,"Resting","Resting"
-20.5832390689439,-31.3410799083216,0.0290241735631132,-3.07729034954944,"Resting","Resting"
-19.5804275607176,-36.1118296958221,4.87500609804411,0.908036048900493,"Exploratory","Resting"
-19.5750075661606,-35.8021473270453,0.309729794937729,2.91690893467992,"Resting","Resting"
-19.5031012750922,-35.8336094344444,0.0784880812429352,-1.96574301301523,"Resting","Resting"
-19.5031253561151,-35.8335358122688,7.7460444185594e-05,2.29936341265926,"Resting","Resting"
-19.1950506320389,-35.7134241762323,0.330661217450725,-1.51516632926337,"Resting","Resting"
-19.1950508766285,-35.7134242470452,2.5463407372435e-07,3.05165437575804,"Resting","Resting"
-19.1851127258295,-35.7065953030949,0.0120582468368565,-2.82135898501119,"Resting","Resting"
-19.5408353042877,-35.9310966733786,0.420641674212389,3.1025304288878,"Resting","Resting"
-19.5347604240353,-35.9288021531018,0.00649376573196185,2.93975025460321,"Resting","Resting"
-19.5819697925869,-35.9460713675399,0.0502687800363803,3.13113262421047,"Resting","Resting"
-19.5819228829239,-35.9460719323633,4.69130632596779e-05,2.77887143837539,"Resting","Resting"
-19.5820441261267,-35.9460601536026,0.000121814011616609,3.05678678667763,"Resting","Resting"
